iter	MAE	RMSE
0	7058.003442	8873.104611
1	6820.481872	8608.964057
2	6603.447355	8366.780735
3	6396.013579	8136.446886
4	6214.877855	7933.040338
5	6033.490099	7727.438977
6	5866.8187	7539.468987
7	5705.809862	7360.604643
8	5562.660779	7197.111663
9	5424.925488	7040.030669
10	5299.241331	6897.868161
11	5175.789102	6753.092787
12	5069.882658	6628.869768
13	4966.642289	6511.360854
14	4864.527806	6393.791966
15	4772.827069	6290.113732
16	4684.598444	6190.390644
17	4610.036953	6103.158982
18	4533.569532	6015.232293
19	4456.192613	5923.194643
20	4390.291822	5846.568008
21	4318.666543	5764.976121
22	4257.094579	5694.6084
23	4200.617606	5630.258933
24	4144.956632	5568.829176
25	4089.763905	5506.633914
26	4039.23516	5448.946271
27	3994.610877	5394.752587
28	3947.448163	5340.933376
29	3905.184051	5292.565762
30	3869.00855	5250.405215
31	3829.131498	5206.081312
32	3788.362467	5159.040714
33	3754.196857	5120.613138
34	3722.555352	5086.103172
35	3690.904361	5048.57623
36	3658.171895	5013.138555
37	3628.75522	4981.270816
38	3601.998083	4951.375117
39	3576.48556	4922.314984
40	3554.48486	4896.746371
41	3530.950602	4870.692326
42	3510.147412	4846.303399
43	3489.972568	4824.055166
44	3469.728031	4801.401299
45	3451.650301	4779.737846
46	3435.062515	4760.464849
47	3419.071488	4741.534352
48	3402.412066	4722.883984
49	3385.367458	4704.377637
50	3370.149253	4688.791182
51	3358.104707	4675.264399
52	3342.402168	4658.640495
53	3330.219325	4644.346342
54	3317.200462	4629.159602
55	3303.423693	4613.475325
56	3289.842707	4596.404251
57	3278.095224	4580.945021
58	3265.805701	4567.837099
59	3256.784668	4556.622332
60	3247.629211	4544.721593
61	3240.623538	4535.622987
62	3230.270926	4522.799265
63	3218.616478	4508.247262
64	3209.269823	4497.342025
65	3202.360056	4488.251087
66	3191.915428	4475.612333
67	3183.233408	4465.839259
68	3175.821297	4456.025374
69	3168.60946	4447.864074
70	3161.908287	4439.872322
71	3154.368221	4430.887125
72	3149.075545	4422.792791
73	3139.739138	4412.869566
74	3132.937977	4404.12356
75	3127.450219	4396.824732
76	3122.282096	4390.546543
77	3114.299413	4379.691849
78	3107.748959	4371.800924
79	3102.167908	4364.263061
80	3096.925582	4356.720853
81	3090.813752	4350.38869
82	3085.774482	4343.68863
83	3080.80367	4338.434735
84	3074.990129	4331.175037
85	3069.40209	4323.557389
86	3065.167221	4316.932764
87	3059.356228	4310.660026
88	3053.947485	4303.47453
89	3049.097472	4297.034108
90	3044.154505	4290.562224
91	3040.777635	4286.211865
92	3035.82411	4279.873807
93	3031.26836	4273.009052
94	3026.845894	4266.909712
95	3020.618686	4258.917452
96	3015.943016	4253.433146
97	3010.195753	4246.510465
98	3005.171099	4239.528759
99	3001.397766	4234.305055
100	2999.096768	4230.436399
101	2996.138557	4226.393975
102	2991.872343	4220.522025
103	2988.204113	4215.558977
104	2984.085151	4210.523829
105	2980.806544	4205.204632
106	2976.147283	4199.622646
107	2972.488644	4194.513792
108	2966.656881	4187.963064
109	2963.86795	4183.798349
110	2960.056236	4178.730079
111	2957.725903	4175.003726
112	2954.254057	4170.61083
113	2950.94593	4166.3321
114	2945.841602	4159.101864
115	2943.488614	4155.276828
116	2940.676439	4151.008014
117	2936.582028	4145.709742
118	2931.427689	4139.981165
